TPU_ID,YEAR,nearest_mtr_distance,nearest_mtr_station,nearest_mtr_lat,nearest_mtr_lon,mtr_stations_count,has_mtr_station,mtr_proximity_category,within_500m_buffer,within_1000m_buffer,within_2000m_buffer
272,2006,575.9183689959635,Lok Fu,22.338,114.1871,0,False,Close (500-1000m),False,True,True
243,2006,527.311805492072,Ho Man Tin,22.308953,114.181612,0,False,Close (500-1000m),True,True,True
264,2006,473.30091343010827,Cheung Sha Wan,22.3354,114.1563,0,False,Very Close (<500m),True,True,True
222,2006,170.13240924946567,Prince Edward,22.3245,114.1683,0,False,Very Close (<500m),True,True,True
225,2006,424.6267076539205,Yau Ma Tei,22.3129,114.1707,0,False,Very Close (<500m),True,True,True
266,2006,280.02841770103606,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
272,2006,488.9153349523365,Kowloon Tong,22.336809,114.177245,0,False,Very Close (<500m),True,True,True
226,2006,108.47449459816978,Jordan,22.3049,114.1718,0,False,Very Close (<500m),True,True,True
625,2006,941.3713972799119,Fanling,22.490627,114.139289,0,False,Close (500-1000m),False,True,True
267,2006,369.6768792475436,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
266,2006,92.33258218393202,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
221,2006,384.62334809493905,Prince Edward,22.3245,114.1683,0,False,Very Close (<500m),True,True,True
266,2006,147.53731173056107,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
264,2006,433.90667365870416,Cheung Sha Wan,22.3354,114.1563,0,False,Very Close (<500m),True,True,True
290,2006,428.51589152093925,Kwun Tong,22.311559,114.227765,0,False,Very Close (<500m),True,True,True
211,2006,372.04700372376686,Tsim Sha Tsui,22.2973,114.1722,0,False,Very Close (<500m),True,True,True
234,2006,598.8205817786867,Mong Kok,22.321624,114.172537,0,False,Close (500-1000m),False,True,True
231,2006,958.7140597311239,Sung Wong Toi,22.326139,114.190407,0,False,Close (500-1000m),False,True,True
280,2006,611.7156982142175,Kowloon Bay,22.3235,114.2141,0,False,Close (500-1000m),False,True,True
294,2006,400.6043757882634,Kwun Tong,22.311559,114.227765,0,False,Very Close (<500m),True,True,True
234,2006,724.0388630202971,Mong Kok East,22.3222,114.1728,0,False,Close (500-1000m),False,True,True
267,2006,276.6384195008655,Shek Kip Mei,22.332,114.1687,0,False,Very Close (<500m),True,True,True
624,2006,361.48792356163887,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True
268,2006,580.856753749769,Shek Kip Mei,22.332,114.1687,0,False,Close (500-1000m),True,True,True
524,2006,786.7141560232442,Long Ping,22.449302,114.027269,0,False,Close (500-1000m),False,True,True
625,2006,579.147422647181,Fanling,22.490627,114.139289,0,False,Close (500-1000m),False,True,True
234,2006,591.6610613615874,Mong Kok,22.321624,114.172537,0,False,Close (500-1000m),False,True,True
271,2006,439.66100509924314,Kowloon Tong,22.336809,114.177245,0,False,Very Close (<500m),True,True,True
324,2006,549.7375571886504,Tsuen Wan station,22.373698,114.117726,0,False,Close (500-1000m),True,True,True
247,2006,663.5483535477924,To Kwa Wan,22.3172,114.1876,0,False,Close (500-1000m),False,True,True
425,2006,618.6331246058696,Siu Hong,22.413564,113.979115,0,False,Close (500-1000m),False,True,True
423,2006,556.0689592666788,Tuen Mun,22.394156,113.973948,0,False,Close (500-1000m),True,True,True
271,2006,580.5619035995929,Kowloon Tong,22.336809,114.177245,0,False,Close (500-1000m),True,True,True
233,2006,570.875937062368,Sung Wong Toi,22.326139,114.190407,0,False,Close (500-1000m),False,True,True
283,2006,587.7897184013988,Wong Tai Sin,22.341839,114.192124,0,False,Close (500-1000m),False,True,True
524,2006,494.16438775314396,Long Ping,22.449302,114.027269,0,False,Very Close (<500m),True,True,True
264,2006,423.3444568265962,Cheung Sha Wan,22.3354,114.1563,0,False,Very Close (<500m),True,True,True
221,2006,252.88517405503416,Olympic,22.3178,114.1602,0,False,Very Close (<500m),True,True,True
350,2006,1028.018081510006,Tsing Yi,22.360206,114.107587,0,False,Moderate (1-2km),False,True,True
265,2006,329.96829423341046,Cheung Sha Wan,22.3354,114.1563,0,False,Very Close (<500m),True,True,True
268,2006,576.4666036127618,Shek Kip Mei,22.332,114.1687,0,False,Close (500-1000m),True,True,True
260,2006,364.85601630519494,Lai Chi Kok,22.3373,114.1482,0,False,Very Close (<500m),True,True,True
723,2006,334.0395581243654,Tai Po Market,22.4446,114.1706,0,False,Very Close (<500m),True,True,True
221,2006,427.2329122162953,Mong Kok,22.321624,114.172537,0,False,Very Close (<500m),True,True,True
264,2006,456.8023379637286,Cheung Sha Wan,22.3354,114.1563,0,False,Very Close (<500m),True,True,True
264,2006,479.21144056030016,Cheung Sha Wan,22.3354,114.1563,0,False,Very Close (<500m),True,True,True
229,2006,470.5057810436115,Yau Ma Tei,22.3129,114.1707,0,False,Very Close (<500m),True,True,True
211,2006,198.92267831671634,Austin,22.304236,114.166601,0,False,Very Close (<500m),True,True,True
225,2006,59.80201968703533,Yau Ma Tei,22.3129,114.1707,0,False,Very Close (<500m),True,True,True
241,2006,294.3428886306036,To Kwa Wan,22.3172,114.1876,0,False,Very Close (<500m),True,True,True
242,2006,439.14247647900095,Sung Wong Toi,22.326139,114.190407,0,False,Very Close (<500m),True,True,True
231,2006,542.4853552135903,Sung Wong Toi,22.326139,114.190407,0,False,Close (500-1000m),True,True,True
262,2006,458.26327595813416,Cheung Sha Wan,22.3354,114.1563,0,False,Very Close (<500m),True,True,True
221,2006,238.92887904432078,Prince Edward,22.3245,114.1683,0,False,Very Close (<500m),True,True,True
227,2006,469.67441814061885,Yau Ma Tei,22.3129,114.1707,0,False,Very Close (<500m),True,True,True
222,2006,364.92982358004,Mong Kok,22.321624,114.172537,0,False,Very Close (<500m),True,True,True
229,2006,528.9599994210988,Mong Kok,22.321624,114.172537,0,False,Close (500-1000m),True,True,True
264,2006,479.5999927933282,Cheung Sha Wan,22.3354,114.1563,0,False,Very Close (<500m),True,True,True
264,2006,513.0576424130467,Cheung Sha Wan,22.3354,114.1563,0,False,Close (500-1000m),True,True,True
267,2006,362.7418733800908,Prince Edward,22.3245,114.1683,0,False,Very Close (<500m),True,True,True
264,2006,451.31569355365986,Cheung Sha Wan,22.3354,114.1563,0,False,Very Close (<500m),True,True,True
266,2006,285.54594836091616,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
221,2006,524.2760053943184,Prince Edward,22.3245,114.1683,0,False,Close (500-1000m),True,True,True
285,2006,244.44253428181534,Sung Wong Toi,22.326139,114.190407,0,False,Very Close (<500m),True,True,True
221,2006,408.43060837755945,Olympic,22.3178,114.1602,0,False,Very Close (<500m),True,True,True
242,2006,137.10639768119978,To Kwa Wan,22.3172,114.1876,0,False,Very Close (<500m),True,True,True
221,2006,193.25726981019693,Prince Edward,22.3245,114.1683,0,False,Very Close (<500m),True,True,True
624,2006,74.06356701521372,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True
288,2006,880.218516011519,Choi Hung,22.334161,114.210289,0,False,Close (500-1000m),False,True,True
221,2006,575.3796752775596,Prince Edward,22.3245,114.1683,0,False,Close (500-1000m),False,True,True
241,2006,395.29956590629456,Sung Wong Toi,22.326139,114.190407,0,False,Very Close (<500m),True,True,True
267,2006,292.460017807018,Shek Kip Mei,22.332,114.1687,0,False,Very Close (<500m),True,True,True
266,2006,256.44994590464586,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
625,2006,708.1173654325091,Fanling,22.490627,114.139289,0,False,Close (500-1000m),False,True,True
266,2006,477.7216634286317,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
267,2006,282.7374528779511,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
225,2006,418.9621571093314,Austin station,22.306294,114.164522,0,False,Very Close (<500m),True,True,True
212,2006,103.22605619357712,Tsim Sha Tsui,22.2973,114.1722,0,False,Very Close (<500m),True,True,True
266,2006,492.7210339841129,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
267,2006,328.3195740205515,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
266,2006,156.10678817161883,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
221,2006,562.6515155430668,Prince Edward,22.3245,114.1683,0,False,Close (500-1000m),False,True,True
236,2006,294.70042283637144,Ho Man Tin,22.308953,114.181612,0,False,Very Close (<500m),True,True,True
222,2006,148.29542959355362,Prince Edward,22.3245,114.1683,0,False,Very Close (<500m),True,True,True
266,2006,432.7688693785981,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
266,2006,303.67388554337765,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
229,2006,472.25081606232277,Mong Kok,22.321624,114.172537,0,False,Very Close (<500m),True,True,True
225,2006,469.5746484181092,Austin station,22.306294,114.164522,0,False,Very Close (<500m),True,True,True
266,2006,193.83488567486762,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
222,2006,203.20487275291347,Prince Edward,22.3245,114.1683,0,False,Very Close (<500m),True,True,True
266,2006,416.12603460637666,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
624,2006,410.38107078590065,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True
653,2006,10141.629993307242,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
221,2006,115.13310700414733,Prince Edward,22.3245,114.1683,0,False,Very Close (<500m),True,True,True
291,2006,296.6228117196271,Kowloon Bay,22.3235,114.2141,0,False,Very Close (<500m),True,True,True
624,2006,749.0825360249233,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),False,True,True
264,2006,298.61896730044225,Cheung Sha Wan,22.3354,114.1563,0,False,Very Close (<500m),True,True,True
243,2006,573.8991315812912,To Kwa Wan,22.3172,114.1876,0,False,Close (500-1000m),False,True,True
424,2006,406.155944254773,Tuen Mun,22.394156,113.973948,0,False,Very Close (<500m),True,True,True
221,2006,275.3011971487657,Prince Edward,22.3245,114.1683,0,False,Very Close (<500m),True,True,True
625,2006,633.3094122320207,Fanling,22.490627,114.139289,0,False,Close (500-1000m),False,True,True
266,2006,367.5802653279699,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
285,2006,279.13421237591336,Sung Wong Toi,22.326139,114.190407,0,False,Very Close (<500m),True,True,True
221,2006,626.4332066105713,Prince Edward,22.3245,114.1683,0,False,Close (500-1000m),False,True,True
271,2006,684.0120582769199,Sung Wong Toi,22.326139,114.190407,0,False,Close (500-1000m),False,True,True
726,2006,494.59915878848204,Tai Wo,22.4511,114.1611,0,False,Very Close (<500m),True,True,True
271,2006,593.7238353979259,Kowloon Tong,22.336809,114.177245,0,False,Close (500-1000m),False,True,True
246,2006,183.88864295194796,Sung Wong Toi,22.326139,114.190407,0,False,Very Close (<500m),True,True,True
221,2006,173.12258446711783,Prince Edward,22.3245,114.1683,0,False,Very Close (<500m),True,True,True
634,2006,1509.1985247577543,Fanling,22.490627,114.139289,0,False,Moderate (1-2km),False,False,True
244,2006,611.8805185129941,Whampoa,22.305852,114.188799,0,False,Close (500-1000m),False,True,True
266,2006,348.40771596148323,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
624,2006,598.244947253841,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),True,True,True
261,2006,170.07454080991783,Lai Chi Kok,22.3373,114.1482,0,False,Very Close (<500m),True,True,True
246,2006,284.6860517279844,Sung Wong Toi,22.326139,114.190407,0,False,Very Close (<500m),True,True,True
726,2006,368.98898188891417,Tai Wo,22.4511,114.1611,0,False,Very Close (<500m),True,True,True
264,2006,498.1635582013692,Cheung Sha Wan,22.3354,114.1563,0,False,Very Close (<500m),True,True,True
742,2006,15687.23247445259,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
266,2006,280.4987942999537,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
266,2006,43.5871532192842,Sham Shui Po,22.330141,114.163247,0,False,Very Close (<500m),True,True,True
264,2006,407.5658235768162,Cheung Sha Wan,22.3354,114.1563,0,False,Very Close (<500m),True,True,True
264,2006,396.22567822461554,Cheung Sha Wan,22.3354,114.1563,0,False,Very Close (<500m),True,True,True
225,2006,303.24761984240575,Austin,22.304236,114.166601,0,False,Very Close (<500m),True,True,True
